#,EDO,SERIAL,EQUIPO / ACTIVO,TIPO,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,P.T.,SERVICIO,A / L,TEMP,D. EXT,PESO,PROPIEDAD,NOMENCLATURA FLEJE,L. FLEJE,,UNION
68,ON,,PCT-DSA-18,BRIDA ADAPTADORA,13  5/8 ,B,BX-159,10000,X,20  3/4 ,B,R-74 / RX-74,3000,NA,NA,NA,NA,NA,3000,H2S,5  1/2 ,-29 - 121 C,,,PCT, / PCT-DSA-18 / MAWP 3000 / H2S / TEMP -29 - 121 C,3      ,,
69,ON,,PCT-DSA-19,BRIDA ADAPTADORA,16  3/4 ,B,BX-162,5000,X,20  3/4 ,B,R-74 / RX-74,3000,NA,NA,NA,NA,NA,3000,H2S,5  1/2 ,-29 - 121 C,,,PCT, / PCT-DSA-19 / MAWP 3000 / H2S / TEMP -29 - 121 C,3      ,,
70,ON,2020090,PCT-DSA-20,BRIDA ADAPTADORA,13  5/8 ,B,BX-160,5000,X,16  3/4 ,B,BX-162,5000,NA,NA,NA,NA,NA,5000,H2S,5  3/8 ,-29 - 121 C,,,PCT,2020090 / PCT-DSA-20 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
71,ON,2020088,PCT-DSA-21,BRIDA ADAPTADORA,13  5/8 ,B,BX-160,5000,X,18  3/4 ,B,BX-163,5000,NA,NA,NA,NA,NA,5000,H2S,6  3/4 ,-29 - 121 C,,,PCT,2020088 / PCT-DSA-21 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
72,ON,2020089,PCT-DSA-22,BRIDA ADAPTADORA,16  3/4 ,B,BX-162,5000,X,18  3/4 ,B,BX-163,5000,NA,NA,NA,NA,NA,5000,H2S,6  3/4 ,-29 - 121 C,,,PCT,2020089 / PCT-DSA-22 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
73,ON,250219F01,PCT-DSA-23,BRIDA ADAPTADORA,18  3/4 ,B,BX-163,5000,X,18  3/4 ,B,BX-164,10000,NA,NA,NA,NA,NA,5000,H2S,8 25/32,-29 - 121 C,,,PCT,250219F01 / PCT-DSA-23 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
74,ON,,PCT-SSA-01,SSA,7  1/16,B,R-46,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,4  1/2 ,-29 - 121 C,,,PCT, / PCT-SSA-01 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
75,ON,,PCT-SSA-02,SSA,7  1/16,B,R-46,5000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,5000,H2S,7  3/4 ,-29 - 121 C,,,PCT, / PCT-SSA-02 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
76,ON,PCT-23-XO-6/4-206-001,PCT-XO-001,XOVER,4      ,206,H,2000,X,6      ,206,M,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,,,PCT,PCT-23-XO-6/4-206-001 / PCT-XO-001 / MAWP 1440 / H2S / TEMP -29 - 121 C,3      ,,
77,ON,PCT-23-XO-6/4-206-002,PCT-XO-002,XOVER,4      ,206,H,2000,X,6      ,206,M,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,,,PCT,PCT-23-XO-6/4-206-002 / PCT-XO-002 / MAWP 1440 / H2S / TEMP -29 - 121 C,3      ,,
